wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore,review_status
G:\crater_flux_output_folders\output_-60_-50_0_75\B01_009960_2236_XN_43N050W_J20_052631_2240_XN_44N050W,B01_009960_2236_XN_43N050W_J20_052631_2240_XN_44N050W,7673556.246,2579114.645,120.5448427,7,0.058069676,0.477659017,done
G:\crater_flux_output_folders\output_0_10_0_75\D06_029474_1897_XN_09N357W_D05_029118_1917_XI_11N358W,D06_029474_1897_XN_09N357W_D05_029118_1917_XI_11N358W,-10548997.39,605140.3803,95.71167518,10,0.104480462,0.477652252,done
G:\crater_flux_output_folders\output_80_90_-50_-25\D18_034139_1509_XN_29S277W_D22_035629_1505_XN_29S276W,D18_034139_1509_XN_29S277W_D22_035629_1505_XN_29S276W,-5740706.203,-1732584.55,1091.012912,2,0.001833159,0.477633804,
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B02_010505_2205_XN_40N170W_B05_011428_2198_XI_39N170W,B02_010505_2205_XN_40N170W_B05_011428_2198_XI_39N170W,583559.0061,2341161.484,481.445229,1,0.002077079,0.477623552,done
G:\crater_flux_output_folders\output_130_140_-75_0\J14_050172_1460_XN_34S223W_J16_050884_1447_XN_35S223W,J14_050172_1460_XN_34S223W_J16_050884_1447_XN_35S223W,-2586647.566,-2042243.425,193.6680325,0,0,0.47757104,
G:\crater_flux_output_folders\output_130_140_0_75\P16_007224_2158_XN_35N223W_B17_016454_2125_XN_32N222W,P16_007224_2158_XN_35N223W_B17_016454_2125_XN_32N222W,-2555333.525,1957223.459,149.238312,2,0.013401384,0.477531314,done
G:\crater_flux_output_folders\output_130_140_0_75\D18_034084_2279_XI_47N225W_D21_035429_2279_XI_47N226W,D18_034084_2279_XI_47N225W_D21_035429_2279_XI_47N226W,-2732190.259,2822273.458,316.3516817,4,0.012644156,0.477487087,done
G:\crater_flux_output_folders\output_-60_-50_-75_0\P22_009710_1491_XI_30S056W_B19_017213_1519_XN_28S057W,P22_009710_1491_XI_30S056W_B19_017213_1519_XN_28S057W,7316059.536,-1727298.928,45.88807275,9,0.196129396,0.477472007,done
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_-75_0\B21_017692_1505_XN_29S173W_F03_037023_1523_XI_27S174W,B21_017692_1505_XN_29S173W_F03_037023_1523_XI_27S174W,347645.9538,-1679020.796,27.92461923,7,0.250674859,0.477389902,done
G:\crater_flux_output_folders\output_130_140_-75_0\B19_016995_1428_XI_37S223W_D18_034414_1405_XN_39S223W,B19_016995_1428_XI_37S223W_D18_034414_1405_XN_39S223W,-2559128.377,-2326405.456,944.7967314,17,0.017993288,0.477246284,
G:\crater_flux_output_folders\output_0_10_0_75\P03_002284_2181_XN_38N353W_D05_029355_2163_XN_36N352W,P03_002284_2181_XN_38N353W_D05_029355_2163_XN_36N352W,-10238518.21,2213303.451,58.57545805,5,0.085359981,0.477196544,done
G:\crater_flux_output_folders\output_-60_-50_-75_0\F05_037810_1317_XN_48S056W_J06_047331_1317_XN_48S056W,F05_037810_1317_XN_48S056W_J06_047331_1317_XN_48S056W,7338602.667,-2844093.92,878.6947473,1,0.001138052,0.477168769,done
G:\crater_flux_output_folders\output_130_140_0_75\F23_044937_1845_XN_04N224W_F21_043882_1840_XN_04N224W,F23_044937_1845_XN_04N224W_F21_043882_1840_XN_04N224W,-2629427.242,251028.9716,33.31224979,5,0.150094936,0.477135539,done
G:\crater_flux_output_folders\output_-110_-100_-30_0\F01_036269_1545_XN_25S108W_D22_035847_1606_XN_19S109W,F01_036269_1545_XN_25S108W_D22_035847_1606_XN_19S109W,4201631.77,-1348651.431,100.5957261,3,0.029822341,0.477127671,done
G:\crater_flux_output_folders\output_-60_-50_0_75\G23_027096_2849_XN_75N055W_J03_045827_2529_XN_72N056W,G23_027096_2849_XN_75N055W_J03_045827_2529_XN_72N056W,-20097.11832,-910937.5113,0.074217729,0,0,0.477124929,
G:\crater_flux_output_folders\output_0_10_-25_-0.01\D16_033390_1607_XN_19S350W_D18_034379_1623_XN_17S350W,D16_033390_1607_XN_19S350W_D18_034379_1623_XN_17S350W,-10103918.19,-1086443.35,205.8413978,7,0.034006765,0.477068603,done
G:\crater_flux_output_folders\output_-60_-50_-75_0\F20_043744_1656_XN_14S056W_J02_045498_1647_XN_15S056W,F20_043744_1656_XN_14S056W_J02_045498_1647_XN_15S056W,7337054.088,-868581.4177,104.1749948,12,0.11519079,0.47706005,done
