wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_F02_036627_2242_XI_44N171W,B01_009938_2256_XI_45N170W_F02_036627_2242_XI_44N171W,529384.42496,2660368.28816,716.187636096352,0,0,0.0130864130333066
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_F04_037550_2241_XI_44N171W,B01_009938_2256_XI_45N170W_F04_037550_2241_XI_44N171W,529916.756,2659180.31776,663.611136349611,0,0,0.107408657670021
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_F18_042759_2242_XI_44N171W,B01_009938_2256_XI_45N170W_F18_042759_2242_XI_44N171W,529336.30464,2659772.7992,709.576046206484,0,0,0.00862049032002687
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_F20_043682_2242_XI_44N171W,B01_009938_2256_XI_45N170W_F20_043682_2242_XI_44N171W,530355.85392,2659772.7992,790.23409252948,0,0,0.0165059957653284
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_F23_044737_2242_XI_44N171W,B01_009938_2256_XI_45N170W_F23_044737_2242_XI_44N171W,530022.0192,2661553.25104,823.975133711905,0,0,0.0124988965690136
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G01_018786_2264_XN_46N171W,B01_009938_2256_XI_45N170W_G01_018786_2264_XN_46N171W,513534.79456,2735923.2056,0,0,0,0
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G02_019142_2242_XI_44N171W,B01_009938_2256_XI_45N170W_G02_019142_2242_XI_44N171W,529513.74832,2660368.28816,791.201709336136,0,0,0.020796736702323
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G03_019498_2264_XN_46N171W,B01_009938_2256_XI_45N170W_G03_019498_2264_XN_46N171W,514073.14064,2736744.25856,0.668510908486948,0,0,0
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G04_019920_2246_XI_44N171W,B01_009938_2256_XI_45N170W_G04_019920_2246_XI_44N171W,529682.16944,2659772.7992,827.093367875891,0,0,0.0117200277745724
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G06_020487_2264_XN_46N171W,B01_009938_2256_XI_45N170W_G06_020487_2264_XN_46N171W,513420.5088,2737090.12336,0,0,0,0
