impact_id,lon,lat,category,n_ctx,ProductId,UTCstart
14,-173.516,10.599,faint,5,P08_004150_1923_XI_12N173W,2007-06-15T19:46:21.473
14,-173.516,10.599,faint,5,B07_012259_1927_XI_12N173W,2009-03-08T17:38:31.857
14,-173.516,10.599,faint,5,B12_014382_1907_XI_10N173W,2009-08-21T03:52:45.378
14,-173.516,10.599,faint,5,B17_016149_1907_XI_10N173W,2010-01-05T20:13:23.127
14,-173.516,10.599,faint,5,D08_030443_1919_XN_11N173W,2013-01-23T15:23:17.322
15,-158.605,4.431,good,5,P18_008171_1829_XN_02N158W,2008-04-24T04:04:07.852
15,-158.605,4.431,good,5,B08_012931_1847_XN_04N158W,2009-04-30T02:19:05.361
15,-158.605,4.431,good,5,B09_013287_1844_XI_04N158W,2009-05-27T20:05:05.714
15,-158.605,4.431,good,5,D10_031049_1844_XN_04N158W,2013-03-11T20:42:11.436
15,-158.605,4.431,good,5,F11_039937_1844_XN_04N158W,2015-02-02T09:36:01.646
16,-142.358,-8.879,junk,5,P03_002382_1705_XN_09S142W,2007-01-29T01:19:14.641
16,-142.358,-8.879,junk,5,B09_013181_1733_XN_06S142W,2009-05-19T13:46:35.168
16,-142.358,-8.879,junk,5,B20_017427_1704_XI_09S142W,2010-04-15T10:06:25.858
16,-142.358,-8.879,junk,5,G01_018561_1711_XN_08S142W,2010-07-12T18:50:46.321
16,-142.358,-8.879,junk,5,J01_045211_1711_XN_08S142W,2016-03-19T07:59:37.838
17,-111.088,-0.632,good,4,P03_002394_1809_XN_00N111W,2007-01-29T23:48:21.590
17,-111.088,-0.632,good,4,B09_013193_1810_XI_01N111W,2009-05-20T12:15:25.733
17,-111.088,-0.632,good,4,B16_015949_1794_XN_00S111W,2009-12-21T06:08:34.162
17,-111.088,-0.632,good,4,G04_019984_1796_XN_00S111W,2010-10-31T16:02:27.928
18,-100.605,-6.847,good,4,P21_009250_1733_XI_06S100W,2008-07-17T06:16:54.662
18,-100.605,-6.847,good,4,B11_013786_1729_XI_07S100W,2009-07-05T17:12:29.478
18,-100.605,-6.847,good,4,B17_016331_1731_XI_06S100W,2010-01-20T00:29:19.107
18,-100.605,-6.847,good,4,J10_048585_1729_XI_07S100W,2016-12-07T06:12:10.521
19,-113.29,-4.168,good,6,P06_003449_1762_XN_03S113W,2007-04-22T04:43:48.126
19,-113.29,-4.168,good,6,P08_004082_1762_XI_03S113W,2007-06-10T12:31:08.403
19,-113.29,-4.168,good,6,P09_004438_1763_XI_03S113W,2007-07-08T06:16:47.471
19,-113.29,-4.168,good,6,B11_014037_1761_XN_03S113W,2009-07-25T06:38:21.048
19,-113.29,-4.168,good,6,B12_014182_1761_XN_03S113W,2009-08-05T13:48:02.950
19,-113.29,-4.168,good,6,B18_016582_1759_XI_04S113W,2010-02-08T13:52:59.027
20,-124.902,3.242,good,6,P13_006113_1819_XN_01N124W,2007-11-15T18:49:01.455
20,-124.902,3.242,good,6,B16_015989_1834_XN_03N124W,2009-12-24T08:58:14.654
20,-124.902,3.242,good,6,G13_023426_1832_XI_03N124W,2011-07-26T21:01:41.556
20,-124.902,3.242,good,6,D13_032340_1832_XN_03N124W,2013-06-20T11:04:30.772
20,-124.902,3.242,good,6,F05_037654_1832_XI_03N124W,2014-08-08T13:03:19.744
20,-124.902,3.242,good,6,F12_040384_1820_XI_02N124W,2015-03-09T05:32:27.478
21,-80.636,4.866,good,3,P17_007799_1860_XN_06N081W,2008-03-26T04:16:22.595
21,-80.636,4.866,good,3,B17_016172_1863_XN_06N080W,2010-01-07T15:12:04.092
21,-80.636,4.866,good,3,G20_025943_1849_XN_04N080W,2012-02-08T00:03:39.426
22,-80.201,24.106,good,8,P15_006876_2033_XN_23N080W,2008-01-14T05:57:53.344
22,-80.201,24.106,good,8,P22_009526_2045_XI_24N080W,2008-08-07T18:37:22.685
22,-80.201,24.106,good,8,B02_010370_2044_XN_24N080W,2008-10-12T13:00:13.637
22,-80.201,24.106,good,8,B17_016251_2044_XN_24N080W,2010-01-13T19:02:34.650
22,-80.201,24.106,good,8,B17_016396_2044_XN_24N080W,2010-01-25T02:12:13.470
22,-80.201,24.106,good,8,G21_026589_2043_XN_24N080W,2012-03-29T08:15:24.635
22,-80.201,24.106,good,8,J19_052329_2040_XN_24N080W,2017-09-25T00:09:36.380
22,-80.201,24.106,good,8,J20_052540_2040_XN_24N080W,2017-10-11T10:47:41.235
23,37.832,-0.964,good,9,P07_003694_1797_XI_00S322W,2007-05-11T06:56:03.462
23,37.832,-0.964,good,9,B17_016260_1788_XN_01S322W,2010-01-14T11:44:08.524
23,37.832,-0.964,good,9,B19_017038_1791_XI_00S322W,2010-03-16T02:39:30.962
23,37.832,-0.964,good,9,D08_030409_1791_XN_00S322W,2013-01-20T23:44:09.449
23,37.832,-0.964,good,9,D19_034813_1791_XN_00S322W,2013-12-30T04:02:59.564
23,37.832,-0.964,good,9,F02_036580_1786_XN_01S322W,2014-05-16T20:28:48.844
23,37.832,-0.964,good,9,F03_037081_1815_XN_01N322W,2014-06-24T21:30:32.396
23,37.832,-0.964,good,9,F21_043846_1791_XN_00S322W,2015-12-03T23:48:07.251
23,37.832,-0.964,good,9,J08_047947_1794_XI_00S322W,2016-10-18T12:54:58.758
24,178.252,30.494,good,4,P18_008119_2106_XN_30N182W,2008-04-20T02:57:08.163
24,178.252,30.494,good,4,B17_016347_2105_XN_30N181W,2010-01-21T06:35:39.413
24,178.252,30.494,good,4,B20_017481_2107_XI_30N181W,2010-04-19T15:18:37.957
24,178.252,30.494,good,4,D21_035467_2107_XN_30N181W,2014-02-19T03:18:55.961
25,-176.035,-2.566,good,4,B03_010901_1782_XN_01S176W,2008-11-22T21:56:59.688
25,-176.035,-2.566,good,4,B18_016492_1798_XN_00S176W,2010-02-01T13:35:18.799
25,-176.035,-2.566,good,4,B22_018404_1774_XI_02S176W,2010-06-30T13:16:36.665
25,-176.035,-2.566,good,4,F01_036034_1764_XN_03S176W,2014-04-04T07:26:40.662
26,-114.71,24.921,good,11,P20_008868_2048_XN_24N114W,2008-06-17T11:59:55.076
26,-114.71,24.921,good,11,B18_016516_2043_XN_24N114W,2010-02-03T10:36:06.040
26,-114.71,24.921,good,11,B20_017439_2043_XI_24N114W,2010-04-16T08:43:20.848
26,-114.71,24.921,good,11,G01_018639_2050_XN_25N114W,2010-07-18T20:53:01.532
26,-114.71,24.921,good,11,G01_018784_2051_XI_25N114W,2010-07-30T04:03:42.612
26,-114.71,24.921,good,11,G19_025654_2048_XN_24N114W,2012-01-16T11:43:44.279
26,-114.71,24.921,good,11,G21_026287_2048_XN_24N114W,2012-03-05T19:29:27.177
26,-114.71,24.921,good,11,D04_028898_2047_XN_24N114W,2012-09-25T06:01:02.591
26,-114.71,24.921,good,11,D18_034357_2050_XI_25N114W,2013-11-24T15:19:19.069
26,-114.71,24.921,good,11,F02_036691_2048_XN_24N114W,2014-05-25T12:13:36.990
26,-114.71,24.921,good,11,J01_045012_2051_XN_25N114W,2016-03-03T20:06:25.938
27,-140.765,30.792,junk,9,P13_006153_2133_XN_33N141W,2007-11-18T21:47:12.837
27,-140.765,30.792,junk,9,B18_016662_2087_XN_28N140W,2010-02-14T19:38:34.445
27,-140.765,30.792,junk,9,B19_017229_2110_XI_31N140W,2010-03-31T00:01:39.971
27,-140.765,30.792,junk,9,D19_034793_2110_XN_31N140W,2013-12-28T14:48:34.946
27,-140.765,30.792,junk,9,F09_039145_2115_XI_31N141W,2014-12-02T16:39:40.987
27,-140.765,30.792,junk,9,F10_039712_2114_XI_31N141W,2015-01-15T20:59:49.830
27,-140.765,30.792,junk,9,F12_040411_2114_XI_31N141W,2015-03-11T08:10:52.493
27,-140.765,30.792,junk,9,F17_042481_2115_XI_31N140W,2015-08-19T15:23:45.707
27,-140.765,30.792,junk,9,F17_042547_2115_XI_31N140W,2015-08-24T18:49:22.699
28,-109.213,-13.995,junk,37,P07_003739_1652_XN_14S109W,2007-05-14T19:01:12.612
28,-109.213,-13.995,junk,37,P17_007576_1672_XI_12S109W,2008-03-08T19:03:27.877
28,-109.213,-13.995,junk,37,B03_010714_1652_XI_14S109W,2008-11-08T08:09:13.459
28,-109.213,-13.995,junk,37,B04_011281_1653_XI_14S109W,2008-12-22T12:33:09.391
28,-109.213,-13.995,junk,37,B06_011848_1652_XN_14S109W,2009-02-04T16:54:19.287
28,-109.213,-13.995,junk,37,B06_012059_1652_XI_14S109W,2009-02-21T03:29:58.227
28,-109.213,-13.995,junk,37,B08_012626_1653_XI_14S109W,2009-04-06T07:50:45.808
28,-109.213,-13.995,junk,37,B11_013760_1652_XI_14S109W,2009-07-03T16:32:55.458
